State/UT,Straight Road - Number of Accidents - number,Straight Road - Number of Accidents - Rank,Straight Road - Persons Killed - Number,Straight Road - Persons Killed - Rank,Straight Road - Persons Injured - Greviously Injured,Straight Road - Persons Injured - Minor Injury,Straight Road - Persons Injured - Total Injured,Curved Road - Number of Accidents,Curved Road - Persons Killed,Curved Road - Persons Injured - Greviously Injured,Curved Road - Persons Injured - Minor Injury,Curved Road - Persons Injured - Total Injured,Bridge - Number of Accidents,Bridge - Persons Killed,Bridge - Persons Injured - Greviously Injured,Bridge - Persons Injured - Minor Injury,Bridge - Persons Injured - Total Injured,Culvert - Number of Accidents,Culvert - Persons Killed,Culvert - Persons Injured - Greviously Injured,Culvert - Persons Injured - Minor Injury,Culvert - Persons Injured - Total Injured,Pot Holes - Number of Accidents,Pot Holes - Persons Killed,Pot Holes - Persons Injured - Greviously Injured,Pot Holes - Persons Injured - Minor Injury,Pot Holes - Persons Injured - Total Injured,Steep Grade - Number of Accidents,Steep Grade - Persons Killed,Steep Grade - Persons Injured - Greviously Injured,Steep Grade - Persons Injured - Minor Injury,Steep Grade - Persons Injured - Total Injured,Ongoing Road Works/Under Construction - Number of Accidents,Ongoing Road Works/Under Construction - Persons Killed,Ongoing Road Works/Under Construction - Persons Injured - Greviously Injured,Ongoing Road Works/Under Construction - Persons Injured - Minor Injury,Ongoing Road Works/Under Construction - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Rajkot,479,35.0,147,29.0,171,178,349,6,2,5,4,9,3,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,19,34,43,77
Srinagar,225,43.0,34,48.0,0,242,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,11,0,81,81
Surat,831,24.0,248,14.0,466,172,638,20,7,13,0,13,83,33,50,11,61,3,1,2,0,2,1,0,0,1,1,5,2,2,0,2,2,1,1,0,1,0,0,0,0,0
Thiruvanthapuram,1311,14.0,151,27.0,1141,279,1420,196,15,186,33,219,14,2,13,6,19,5,0,5,1,6,0,0,0,0,0,0,0,0,0,0,18,3,13,4,17,451,34,404,99,503
Thrissur,1583,11.0,136,32.0,1167,589,1756,264,31,210,135,345,8,0,7,3,10,3,0,3,0,3,22,4,15,4,19,4,2,1,1,2,20,0,14,7,21,306,40,219,116,335
Tiruchirapalli,288,40.0,68,44.0,27,244,271,212,27,5,298,303,17,9,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vadodra,645,27.0,142,31.0,337,197,534,5,1,4,0,4,28,15,5,7,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varanasi,134,46.0,53,45.0,38,34,72,91,42,28,21,49,74,39,19,18,37,70,36,22,17,39,60,31,17,15,32,55,29,16,14,30,57,27,16,16,32,69,31,23,14,37
Vijaywada city,1260,15.0,298,10.0,394,764,1158,174,44,59,116,175,56,11,17,35,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,6,0,0,0,0,0
Vizaq,1194,18.0,223,18.0,657,313,970,270,50,180,69,249,45,13,38,9,47,7,1,5,4,9,0,0,0,0,0,3,0,3,0,3,28,8,27,10,37,159,28,120,35,155
Total,52031,,11136,,20122,25978,46100,10573,2010,3890,5945,9835,3494,943,1246,1743,2989,1956,430,523,1224,1747,1390,379,552,606,1158,1449,347,595,744,1339,2900,554,828,1978,2806,8988,1999,3710,4436,8146
